Title,Genre,Platform,ReleaseYear,NumPlayers,AvgRating
Minecraft,Sandbox,Multi-platform,2011,8,9.5
The Witcher 3: Wild Hunt,Action RPG,Multi-platform,2015,1,9.7
God of War,Action-Adventure,PlayStation,2018,1,9.8
Grand Theft Auto V,Action-Adventure,Multi-platform,2013,30,9.6
Red Dead Redemption 2,Action-Adventure,Multi-platform,2018,32,9.7
Super Mario Odyssey,Platformer,Switch,2017,1,9.7
Hades,Rogue-like,Multi-platform,2020,1,9.5
Journey,Adventure,Multi-platform,2012,1,9.5
Half-Life 2,First-Person Shooter,PC,2004,1,9.7
Mass Effect 2,Action RPG,Multi-platform,2010,1,9.6
Portal 2,Puzzle-Platformer,Multi-platform,2011,2,9.5
The Last of Us,Action-Adventure,PlayStation,2013,1,9.8
Metal Gear Solid V: The Phantom Pain,Action-Adventure,Multi-platform,2015,1,9.5
BioShock,First-Person Shooter,Multi-platform,2007,1,9.5
Shadow of the Colossus,Action-Adventure,PlayStation,2005,1,9.6
Hades II,Rogue-like,Multi-platform,2023,1,9.5
Elden Ring,Action RPG,Multi-platform,2022,1,9.6
The Elder Scrolls VI,Action RPG,Multi-platform,2025,1,9.7
